Name	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
PLCD3	7.64529816394863	6.8923910259134	6.85174904141606	7.793115555274349	7.240314329333709	7.71904650392994	6.62497817956904	6.998872453994269	7.6366246205436505	7.621319301014191	7.55688918972687	7.456149034648	6.361066488794321	6.99548451887751	7.696967526234291	7.41193462479118	5.62351574149055	6.61618123133188	7.316507819103109	6.811214117513241	7.58120058192496	7.707359132080881	6.8278190246173205	6.066089190457769	6.0639343057541	7.09381367340273	7.54070926267143	7.21916852046216	6.82145511910246	7.3733001966083895	6.46597446450407	7.3451834471876705	6.36457243229586	7.42038134119664	7.134426320220929	7.0	6.62643913669732	6.973840839533151	7.17990909001493	7.125155131322289	6.9898202201176	6.96693797927846	6.74819284958946
COBL	5.84297883178833	6.02014657311178	5.20163386116965	5.62058641045188	6.56071495447448	6.03782146543497	5.77346892790519	6.23457795978457	5.9518675043269	5.20163386116965	3.39231742277876	6.34872815423108	4.79701297783614	5.89965902637744	6.762880292917	4.666756591884799	6.03782146543497	6.191799501065081	6.27239650903749	5.894817763307941	5.85549144310187	6.0	6.323730337521349	5.300123724569009	4.78135971352466	4.98641093525204	5.4093909361377	5.5576551547254205	6.2114016374184695	6.26865895502767	4.666756591884799	6.20554891117303	6.80992886572143	6.797012977836139	5.8150630171928706	6.51884982870769	6.61911951145322	5.70597790168252	5.649615459063409	5.93073733756289	5.96578428466209	6.30560578958543	6.11894107272351
RHBDL2	8.236970886259341	8.40215936690663	8.762880292917	8.133912814239041	8.31424334674856	8.74718596688658	8.30423722501714	8.55995061271308	8.68544963843391	7.313790025443691	8.191306018918691	7.979568100095191	7.82718389581953	8.21383328309929	8.05365441760314	8.32553033156756	9.03287224946323	8.47532812262242	8.44086916761087	8.697315121716251	8.78496195020486	7.61544572530479	8.78953364497036	8.99859042974533	6.37155886261196	8.2667865406949	6.97269265400426	8.75288236627309	8.01903466936434	8.12876767668555	7.49904859773388	8.70147974825286	8.54303182025524	8.030115330908071	8.0389189892923	8.69801006153743	8.50342824659197	8.75187875229113	8.67666233485797	7.669593751188331	7.3948913664425895	8.65570959551851	8.59170933316174
CPA6	2.96347412397489	1.0	4.930737337562889	3.8875252707415897	4.405992359675841	4.786596361890809	2.7004397181410895	5.32553033156756	1.8073549220576	1.88752527074159	2.48542682717024	0.263034405833794	3.78659636189081	5.10852445677817	5.70321146739115	2.53605290024021	5.56071495447448	5.22110372536788	4.765534746362981	1.0	4.08746284125034	2.56071495447448	2.0	4.06177619758669	0.0	3.6322682154995096	3.2630344058337903	4.05311133645956	1.0703893278914	3.33628338786443	4.96347412397489	4.35755200461808	5.161887682376889	0.6780719051126379	1.0	4.70043971814109	2.63226821549951	4.81762325751143	1.5849625007211599	-0.5	2.16992500144231	4.33628338786443	1.6322682154995098
ACVR1C	5.875288598222691	7.7859428193922495	8.17841587438304	7.751544059089099	8.151777654732049	7.85049941375812	6.62351574149055	7.669593751188331	5.96578428466209	5.794415866350111	8.4520352735462	8.35226417325832	6.86046625851717	8.33136485049545	7.782670658677009	7.71973105674985	6.6395215995108305	7.46842040186455	7.25738784269265	6.0746766862945	7.4594316186373	5.909293085823821	6.378511623253731	7.463524373271179	6.28909670241999	5.97498811199193	7.52042224852645	6.56529252058102	5.93073733756289	8.41193462479118	5.85299758761332	6.27239650903749	6.26115467261557	5.14159627838382	6.65391987311942	7.9518675043269	7.25077213159993	6.60436789989375	6.053111336459559	5.799605422452671	6.325530331567559	7.66888498426625	6.004501392234941
ABCC13	5.161887682376889	6.04657836662033	4.977279923499919	5.244125943283731	5.646738698307849	5.41278152533848	5.33985000288462	4.90689059560852	5.90207357931074	4.26303440583379	5.8678964639926505	5.3469568893788795	5.12515513132229	3.73335434061383	5.61176256006487	5.0746766862945005	3.58496250072116	6.02014657311178	5.05311133645956	5.25927248703759	4.63807383718072	6.427941332509481	6.55305325276641	4.452858964713809	4.32192809488736	3.1043366598147406	5.41278152533848	4.97269265400426	5.67807190511264	5.42961596420174	4.49185309632967	4.98641093525204	6.23840473932508	5.605849867194981	5.21723071622067	5.57893871309339	5.116863757690901	4.887525270741589	3.2172307162206697	3.8972404255748	4.24792751344359	5.8404632338695395	6.04220656012069
ABCC13	7.976134472831651	7.9864109352520405	8.014020470314929	6.63372181264101	6.787902559391429	6.917670434361759	7.458611672584599	7.59693514238723	7.686500527183219	7.6358994659463795	6.58796498888268	7.793115555274349	6.979568100095191	7.51727569320958	7.549977142771819	6.96347412397489	5.67807190511264	8.10852445677817	7.9818526532897405	9.0703893278914	7.673839055990441	8.46474993900329	7.80154670335678	7.45038647903429	6.97269265400426	7.3327079336406	6.17990909001493	7.64313466185727	7.19278595925112	7.518062975652519	6.65391987311942	8.12567176339259	7.889351852594651	7.50937914891469	7.911691581872339	7.36369674483899	6.72655877910497	7.1639012138145395	7.755555261972151	7.31197531446116	6.4396231375571205	6.52199295640167	7.3619437737352404
IGSF3	4.5849625007211605	1.5849625007211599	2.76553474636298	2.48542682717024	3.1538053360790403	2.7004397181410895	2.51096191927738	2.26303440583379	2.6780719051126405	2.35049724708413	1.92599941855622	0.8479969065549499	1.53605290024021	1.26303440583379	4.300123724569009	3.73335434061383	2.6553518286125497	2.8479969065549504	2.6553518286125497	1.67807190511264	4.5298209465287	1.43295940727611	4.54843662469604	3.1043366598147406	2.63226821549951	0.765534746362977	3.1538053360790403	2.8479969065549504	3.9541963103868802	2.23266075679027	1.8073549220576	3.30742852519225	2.16992500144231	3.36457243229586	4.30742852519225	3.49825086752783	1.48542682717024	2.4594316186373	2.51096191927738	3.72246602447109	2.78659636189081	2.8073549220576	1.26303440583379
PROM2	7.57288966842058	7.79766152585376	9.260684356379661	7.97269265400426	8.74852832105729	8.63698706120399	7.57893871309339	9.06931549454008	8.233140296445969	7.745506265869159	8.59469782732387	8.75722331053453	7.97785230797118	8.96318509361413	8.98128185405741	8.732676223073309	8.192292814470768	8.893301530860562	9.12773644358883	7.79506558265962	8.43337679337504	8.12412131182919	8.83478704933734	8.67313237214536	7.10118781525974	7.78985964091365	8.15734693536284	8.22351908679073	7.142617655446581	8.93044167303866	6.53138146051631	8.277519886641361	8.01513624379738	8.01234519041983	8.24840200614344	8.51806297565252	7.87897051015108	8.73538678289534	7.64601861092535	8.1853710292354	7.22400167419811	8.043300754364179	7.7859428193922495
ABHD11	3.9541963103868802	3.877744249949	3.23266075679028	4.5235619560570095	3.0531113364595597	4.54225804976692	2.10433665981474	3.64385618977473	3.8875252707415897	4.104336659814741	4.54843662469604	3.60880924267552	3.2630344058337903	2.90689059560852	2.56071495447448	4.05311133645956	5.5453506448223	3.6667565918847997	2.6553518286125497	3.1538053360790403	2.6553518286125497	3.73335434061383	3.2479275134435897	2.90689059560852	4.19377174339668	3.37851162325373	5.442943495848731	4.84297883178833	2.60880924267552	1.76553474636298	2.16992500144231	5.70321146739115	3.1538053360790403	4.20945336562895	4.01792190799726	2.4059923596758397	6.209453365628951	3.4594316186372995	3.57288966842058	2.72246602447109	6.29094040240368	4.01792190799726	3.2479275134435897
