Name	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
PLCD3	7.62043016134362	8.56141008499193	9.00425579014037	9.419511219228301	7.788362085754651	8.619004557247571	7.45906997327762	8.54166206808979	8.12569439797933	10.1348084156603	8.78986085348105	8.54776474036216	8.65039178363268	8.3912586715812	8.5233013574914	8.80553419705741	8.57619541227885	8.246465465158009	8.083246062582509	8.20635144605362	8.571754380044759	9.53533328741509	8.505995889595901
COBL	7.572738730679981	6.86092574950994	8.35839043299833	7.83013527419625	7.23426736373332	5.94614578107265	3.2215718097668398	7.55049281023032	7.133990837843161	8.217667995965261	8.452026020823599	7.32001589746783	7.9942519128169	7.75465490895193	6.45269419821419	7.59216535165694	7.168241797427631	7.3285405776693295	5.83192987225929	8.18837604794877	7.541744532322769	8.36039984303307	8.51766025956523
RHBDL2	9.00069051652035	8.73602024148185	10.423295471949	9.779494140912051	8.82428132287989	8.05449038464176	7.704353070713661	9.06845422625866	8.247945328719059	10.825323924405598	9.67788757108219	9.72938394030926	10.075645131430301	10.0856261122947	9.599644567065651	9.66923164669028	9.807242686966868	8.09889068378341	9.081389651212788	9.42230234123865	10.0544474904531	9.69499119318958	9.482374815025711
CPA6	4.2267049603276	2.05920712378174	5.579986610344	4.9671648716486905	3.24677046375247	2.54442158377618	2.65437412875832	5.43682715296196	5.15406605128121	6.39928378714821	4.760971857444	6.186050893312559	7.89451564467069	5.61969207290348	5.64133053354241	6.117576364486821	5.12499985756347	2.4769236657752796	6.39956113283864	6.14536748698992	6.300084525939	6.44368697208169	5.87110094736634
ACVR1C	7.951851445806461	7.58731857069656	7.87055351531911	7.233572282730191	7.45370971450235	7.96518062711481	7.751378256788519	7.94528959730283	7.759008886388429	6.49536076522808	7.791944142224669	9.09862938510473	8.785301393321461	8.01458207444541	7.987763191998019	8.51779587919186	8.788143397551481	7.58908442025079	7.52984550648522	8.678017214803821	7.72772823667029	7.57870966707464	8.53389372165382
ABCC13	7.2922859584472315	7.64833124831518	6.86080841725739	6.930642424027719	7.15211785527096	8.36491090942271	5.866409524463821	7.58650241677572	5.84859447430449	7.59021045549021	8.23033581448912	6.351778890527981	6.47099467079619	6.5886397334080895	6.359267527432211	6.390136550024519	7.09184630678629	7.381467167689769	7.004024280168361	7.09678704765883	7.41626253155785	8.04940039510382	8.67824615566613
ABCC13	8.5423294513428	8.31190113950757	8.927213177152119	7.592275440617031	6.1217549864054694	8.36514446388981	7.59152097773954	6.74972193989689	8.12923065646979	8.67171230825358	8.975772501764329	8.13050473528586	8.20036284282968	8.846606675523539	7.785927137270759	8.075618529291269	8.50263808215778	8.28536736255907	7.869015415552091	7.78930289312083	8.21560794513901	7.918845680403741	8.757676273001879
IGSF3	4.7162935695843204	5.472886634496731	4.8589938591484	5.04686504376441	3.9467753004509403	5.233850336150031	5.0390209288262495	6.32668539223287	3.6266047742789502	6.404803228536201	3.7335826588666405	4.03538610935929	6.08691126564435	5.16050344172869	5.84424478147774	5.889182151010231	3.8004346430950497	5.15864143472929	4.9042344105732	5.533668369600821	5.23720238748263	6.88038589986619	5.19889912792651
PROM2	8.7072598035949	8.8251142600794	10.3295902456681	8.62252218951085	7.903214015538531	8.74372985102674	7.93818678553957	10.3201850647486	10.574502986632	9.7276686244568	9.145698193787789	10.9330430611377	10.663085504166899	10.107096204598301	8.921942061990679	10.4837449383926	10.6829616961783	10.1138192518211	9.81074028203877	9.217504559898831	9.76547701917384	10.8386178530411	9.41393763732707
ABHD11	5.3256514624972695	5.66065761846055	5.69299033403445	5.89797189950894	5.98845404160633	5.791412326223071	5.44627916061704	4.996173139631201	6.02339109766125	5.0289059627219	5.64577110591355	5.819066534946151	5.82162422723558	6.20451353310712	6.63065751918247	5.57033808635659	5.266703349127781	6.24542271999408	5.7475868709472895	5.92540340071124	5.09056054378967	4.81043847651938	5.23380015093433
