Name	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
CD9	9.874221	8.927403	8.630517999999999	8.755656	7.839755	8.134966	7.969127	7.939162700000001	9.790067	9.242457	8.584839	7.984009299999999	8.017541	7.93571	7.789625	9.900499	8.9819	9.558332	10.185586	9.28117	9.005541000000001	8.919542999999999	8.812552	9.735522	9.754049	9.909433	8.649298	9.696977	8.76123	8.810095	9.130728999999999	9.673836999999999	10.089455000000001	7.6073675000000005	9.166898	8.521274	8.988797	9.77028	9.846383	9.003561	8.148767999999999	8.677318	7.8296924	9.371143	9.175431	8.965942	9.234395
PHF7	4.0352697	3.0415667999999996	4.357791400000001	3.940955	4.008977	3.4139720999999996	3.6298256	3.7431288	3.9826004999999998	3.6029415	3.3773406	4.7547674	3.6640718	3.8589036	3.148377	4.7452836	3.5849402	3.3639731	3.6142898	3.7579777	4.11397	3.0855088	4.320369	3.7421217	2.3776996	4.063607	4.0218697	4.220206299999999	4.049057	3.2824477999999995	3.1214979	4.140219	4.7516136	3.2644897	4.2961735999999995	3.3602896	2.9627757000000003	3.8637962	4.316232	3.2158990000000003	4.261824	4.047575	4.1949315	4.572058	3.0052502	3.2601814	2.5555446
SLC6A7	3.0264692	2.206932	2.8075702000000002	3.1916290000000003	3.1614525	1.7104627000000001	0.8144286000000001	0.0	0.5486892	2.4028986	1.6262119	1.5606323	2.2488763	1.5975988	2.3025493999999997	3.264079	1.9068726999999999	1.9007359000000001	1.8461245	2.6496952	1.2866323999999998	2.3116477000000004	2.2123082000000003	2.4600105	2.5164459	3.3712449999999996	1.9152175	2.7822970000000002	2.9841572999999997	2.9160063	2.818091	4.007724	3.0722918999999997	2.7527041000000003	2.6053307	2.8069203	3.5239703999999996	2.0046866000000003	3.2341056	2.9047607999999996	2.1209043999999997	3.6613293	2.2460197999999996	3.8094904	2.9046693	2.057081	2.397538
TTC19	7.56263	6.806311	6.665584599999999	6.117729	6.737404	6.6662607000000005	6.8139663	6.842558	6.7780466	6.5621279999999995	6.3274455000000005	7.2019997	6.665340400000001	7.081269	6.223985	6.8187785000000005	6.749007000000001	6.778927	6.561203	6.8464856	6.836011	6.600343	6.2877116	7.1235304	7.113264599999999	6.7950463	6.760269	6.8413405	6.585694	6.574171000000001	6.729141	7.107829	7.128848599999999	6.454025700000001	6.640096700000001	6.774883	5.763944599999999	6.897976400000001	6.9807143	6.492536	7.236281	6.8562202	6.605862599999999	7.176273299999999	6.571111	6.3062	6.2481737
SYT7	0.63213444	3.0415667999999996	1.7006136000000003	1.9529588	3.8590164	1.9414151999999998	4.015429	2.955761	1.728478	0.5148693	2.3712876	2.9067824	3.799857	3.0755502999999997	3.3001087	2.4069382999999998	1.2479135000000001	2.8104183999999997	3.6142898	2.793847	2.1240034	1.4657127	2.3328387999999998	2.4600105	1.3639573999999999	3.1123927000000005	1.9152175	2.7822970000000002	0.8984627000000001	2.83006	2.573343	2.8458080000000003	3.5989165	0.0	2.1342887999999998	3.3602896	3.0370512	1.3256785	2.5958977	2.085584	4.06964	3.383058	3.7188659	2.9850025000000002	3.4948504000000002	0.0	1.1503799
SLC25A39	8.250397	7.9410195	7.6744423	7.967845	7.391400999999999	7.353103	7.4860014999999995	7.257992999999999	7.5788839999999995	7.6894817	7.646089	7.239712700000001	7.301928	7.2698774	7.306804700000001	7.539542699999999	7.6564007	8.011224	7.9962893	7.8318768	7.9381013	7.8623449999999995	7.650182000000001	7.828047	7.796984700000001	7.413917	7.9320216	8.017049	7.8124747	7.4880776	7.633174	7.620072	7.631687599999999	7.7942990000000005	7.8786516	7.353044000000001	7.1166353	7.7273145	8.072859	8.068716	7.6716757	8.469453	7.322903599999999	8.4314375	7.434162599999999	7.8789563	7.892550999999999
MVP	9.669306	8.808297999999999	8.832746	8.910039	9.242673	9.254178999999999	9.470728	9.305860000000001	8.716716	8.8234415	8.715926	9.223153	9.655836	9.420475999999999	9.089521000000001	9.513227	9.503057	9.601622	10.028353	9.104063	9.562814	9.376847999999999	9.461929	9.195463	9.4069	9.427278999999999	9.349505	9.567573	9.479507	8.940145	9.210607000000001	9.368312	9.3594885	9.11904	9.867516499999999	9.677533	10.70402	9.661767999999999	9.772015	9.422704	9.41956	9.791197	9.533045	10.162405	9.510962	9.321049	9.286046
GPRC5A	8.360691000000001	9.299997	9.0069275	9.262338	7.0630703	7.0655556	7.2475643	6.629311599999999	9.585431	8.545672	8.89103	7.680059399999999	7.301928	7.237955	7.393731	8.338784	9.098666	9.537252	8.372744	9.361463	8.922372	9.273845	9.137205	9.985036000000001	9.884692	9.376538	8.750254	8.708884	8.855747000000001	9.217998	8.580613	8.796623	8.562391	8.363329	8.861195	8.214696	9.338658	8.697973	8.246689	8.538967999999999	7.448769599999999	7.625159	6.660276	7.876311	8.543052000000001	8.877275	8.485342
CAPN1	8.360691000000001	7.9410195	8.210313000000001	8.265807	7.9224234	8.032252	8.070316	8.089915	7.9494543	7.9985657	7.9499297	7.969117999999999	8.329499	8.136056	7.676292999999999	8.088094	8.505042999999999	8.510277	8.643191	8.201836	8.566547	8.491882	8.387754	8.697674000000001	8.540868	8.380548	7.9196887	8.112083	7.9599470000000005	8.28241	8.349492999999999	8.16808	8.029643	8.434467999999999	8.518529	8.177141	9.060666000000001	8.367074	8.164506	8.592495	8.392174	8.146849000000001	7.927222	8.429736	8.409485	7.998428	8.213264
MDH1	8.338806	7.669224000000001	7.867529400000001	7.712013000000001	7.692336599999999	7.911484	7.969127	7.939162700000001	7.554231	7.8428835999999995	7.52053	7.961614	7.886384	7.811076	7.696950999999999	8.045086999999999	7.533305	7.8289504	8.140373	7.728014999999999	8.080451	7.9600100000000005	7.8826979999999995	7.7991767	7.843861599999999	7.856235000000001	7.988220699999999	8.042295	8.013995	7.576511999999999	7.8956637	8.10259	8.175455	7.733343	8.017251	7.7093625	7.7794886	7.941385	8.101852000000001	7.926317699999999	7.8852915999999995	7.771555	7.718694	8.177373	7.369591000000001	7.9090869999999995	8.102385
