Name	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
ACAA1	4.727333773987571	4.797305340317981	4.9003794877402	5.409092028151691	6.39760061757648	5.07130560288356	5.00715116902496	5.40427421338493	5.65924342781612	5.36884219040308	5.91082468334057	4.71442523656769	5.18177982850511	4.46715446696475	5.0737576712843495	5.30026745789876	5.33195975215537	5.04713593691382	5.968725423936401	5.396621064844361	5.170790682604941	5.2632195661545405	5.12671119316591	6.160619242656519	5.11140196942118	6.32434098017529	5.45037491159587	5.5142839464821	4.88965533316484	5.65027905339285	5.97929236230896	5.07100771165636	6.31799081425979	5.1045946529620405	4.90145017033962	5.34143051735798	5.14575091278314	5.94576457555359	4.6328120770019	5.20212638157596	5.01209375637775	4.85238847740207	6.284266824542461
ACAA2	6.084731951599519	5.965961539037191	5.01851950849654	7.19470949271863	7.556070647544099	6.1304852758985495	6.58942890789916	6.622255946680959	6.70982695363073	6.069005067718919	6.847904408260571	5.80845474549313	6.51417203852042	4.677058498828861	5.9657454653795705	6.90151714168276	7.0127886360424005	6.18581050015834	7.38775435104872	6.8534270470112695	6.966675365927429	5.89340977059911	6.0717195734075595	7.027706010809161	5.7150522861786195	7.428429467082959	7.69718494436556	7.1354405300035895	6.763908662121179	6.874705882413339	6.91268953061905	7.32899121593902	6.970467900862549	6.8082862534394	6.514847019301129	7.45972980322507	6.9990550128298095	6.7763712856442595	5.4994501288095305	6.3084159892039695	6.329800687957519	7.10174362640644	6.69260686127997
ACAD10	2.50398834408408	2.66315330832324	2.105598062275	2.7878569979940804	3.72881753851224	2.81445940769229	2.92166037928312	3.07801409220155	3.37906649522151	2.65316940893478	2.9202437619072	3.03844925029509	2.78187203386373	2.52792993936735	2.39307763897411	3.0048267450058996	3.40316402457119	2.1956248161804597	3.0127350332960896	2.44407299604183	3.0646956475957103	2.7036889481698103	2.9856008114718504	3.23270726918767	2.8046142433275003	2.9806051189717997	3.05541494021254	3.0033854839010203	2.4871063385763597	3.1401081690065302	2.7627499671219597	2.75101935767363	3.6378752863050097	2.85333782619623	2.8243117442344503	3.11377255244792	3.3465777182007903	3.52551041995557	2.2612965243274	2.56123174746131	2.6035266399496098	3.31955358914487	3.6163340688545196
ACADS	5.215779994254009	4.70972668663632	4.6531670703668	7.328254671844599	7.62914886441846	5.849547621915571	6.047047292464219	6.6391053791255406	6.37175897201875	5.61326146214409	7.12473170459728	5.04254000883772	5.891550871622879	6.171330652246651	5.01915813597876	5.80615234534349	7.35184386932668	5.32691583047083	6.89068724671371	5.30677693736616	6.309201494817191	5.8176911186246	5.17223082575788	7.166214958427731	4.6132537134500495	7.44952883616746	7.438286804624539	6.35644305539313	6.03748722707556	6.83946307896738	7.488010859699769	6.23308869990111	6.9975133509017695	6.413762554726441	5.378913323255861	7.000169580617451	6.727036740457339	7.4612324747334595	4.79038179398772	5.73028913229938	5.12167787191594	6.8345077166966295	7.403906514124779
ACAT1	4.48417831507015	4.40294506991855	3.97992168074727	4.48965218446447	4.7061106091402305	5.43584184936664	3.8527214218007098	3.3732014043772	4.36160097520045	4.868839282489071	3.2227258013917703	4.41262818115383	4.86503461339967	1.1910016941083799	4.3461649878217	4.979384847912639	5.920563364830049	4.1132004463022	4.44467759757461	4.29454186894797	3.98476279629869	4.96552900315703	4.67421720219468	3.9470055246783704	4.46281587283313	5.48250747646695	5.67229652977669	5.433263430786281	4.72788477803574	3.2544344699716903	4.572521791885361	5.05773690477893	4.11143765642976	4.78964408692202	4.76274477540839	5.17460405655811	4.4644074704964805	4.42139775616342	4.24785857772607	5.0704367520164295	5.09116170049412	5.1974182011440995	3.44860530576641
ACO2	6.5973300874358705	6.16266883075833	5.97284864557712	6.787258036834119	7.864941508813731	6.883786852860019	6.94785577229664	6.80993819797467	7.143967165688389	6.59162950809431	6.7739770920147695	6.62181353048913	6.4761536690315	5.43274587927914	6.57638111367707	6.944014054837179	7.1171895858422305	6.41928655551344	7.50834483283868	6.5045339181634105	6.91825424709424	6.74724384010883	6.6996774795848095	7.66235527680046	6.51657660075616	7.20569094298862	7.4390728425243	6.9994174197450105	6.62781841698086	7.4899106002100195	7.66844546101776	7.11062201577011	7.52296191827163	6.70373866328128	6.668079488987059	7.06743074457384	6.89180921642026	8.02176827649569	5.56321646157363	6.857464270259401	6.85589742585641	6.79665942852149	7.88424973133068
ACOT11	3.13394175339208	2.02273344879498	2.5092921130353902	3.0330703912382204	4.76635425402661	3.5868570820205	3.10125316036882	3.50925323755152	3.7155753378096903	3.33957725215773	4.0894768566093305	2.91348042341593	2.85850856906704	2.9182656072727204	3.34134487395335	3.62472648964998	3.58204928817652	3.9707878330731203	4.19117348069771	3.8590403313519297	3.5778094872652	3.00292378341714	3.05038558942332	4.33026731030613	3.27132192857368	4.357587389680741	4.15044691072547	3.92643550386127	3.39589992091389	3.99402977451986	3.84156780411231	3.7274301650691597	4.74522116448861	3.8741400904070002	2.83062510594113	3.4659852124587593	3.7029660541828195	4.76379715892349	1.7239779000356499	3.26226825483079	3.25606462962791	3.4266526108276003	4.670361678796691
ACOT13	3.8498492984770203	3.2072403729218704	3.26703444553051	3.66925074385242	3.57527739103488	3.9022858837965	3.42533642745535	2.8815376166497795	3.75956445128647	4.09780851780589	2.54071864102882	3.76470156115998	3.9032707028049303	1.2638820359089098	3.5795635112656496	4.00043088145298	4.67977077830484	3.5999280430760496	3.69179146494023	3.5944541907883503	3.5433222067319194	3.8548138241291703	3.8128417599723305	3.2754718034236197	3.5421297695613303	3.41495884968585	4.538512277341621	4.26178359704362	4.27287946088717	2.7060203586825198	4.19537879903255	3.5852344889883305	3.35539946870517	4.4011216721195705	4.20290948503939	4.18285744834587	3.52755428785195	3.7785772786766403	2.9036665891052205	3.78679846813654	3.8785212636229103	4.66838611006909	3.3670126802084304
ACOT2	2.27199813739056	1.8775190404514	0.9503692658854841	3.01846806031212	2.2346794693137997	1.8777291165347298	2.81202844933371	2.64579243238832	1.8988164061025	0.8900777097140241	2.43712941533392	1.9007733475782298	2.7162337237507	0.624239909973798	2.14326805097644	2.1979982548649297	3.39929296485421	1.70293677283059	2.7051480622289	1.86890373884607	2.7156951078095095	2.8230825318892996	1.98942986606133	2.96433949744742	1.5974333673032501	2.87965338356548	2.51135371489157	2.68748399930738	2.36970961571258	2.48953707658169	2.89241853467483	1.79156605675807	1.8338809543148797	2.58041398713695	2.3208012553926203	2.33769671963871	3.0493299169388397	2.7838401939189703	1.87319529261433	3.06050638504602	2.63272241469752	2.4812866347493596	2.08023437633735
ACOT8	3.1230425027485604	3.10252568225735	3.4122678987230004	4.7733166768877195	4.38982130424518	3.6302479868779396	3.75345330790179	3.6843859499633904	4.13550485295609	3.67357464087995	3.88560487563204	3.3555608334647204	3.4144534791175802	2.65284933897624	3.5918137786705695	3.79200791821002	4.17772059009493	3.44713814520667	4.6115856212374	3.4197399132217097	3.63101725048285	3.46935862668561	3.3438718444070603	4.06694950789364	3.27345680549362	4.2136555397289905	4.26889141899481	3.7710291037947203	3.83789872825666	4.05375459047138	4.6434939881483706	3.5571410799267205	4.06457870819869	3.56408129420843	3.7526388813842897	4.26326762700594	3.8638145405884505	4.21820930861226	3.0287168340990003	3.80470775742211	3.5104078041877202	3.91244261884745	4.447725033508361
