Name	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
PLCD3	6.811214117513241	7.42038134119664	6.0639343057541	7.125155131322289	7.3733001966083895	6.62643913669732	6.74819284958946	6.82145511910246	7.17990909001493	6.973840839533151	7.09381367340273	6.46597446450407	7.58120058192496	6.066089190457769	6.36457243229586	6.9898202201176	7.21916852046216	7.54070926267143	7.707359132080881	7.3451834471876705	7.134426320220929	6.96693797927846	7.0	6.8278190246173205
COBL	5.894817763307941	6.797012977836139	4.78135971352466	5.93073733756289	6.26865895502767	6.61911951145322	6.11894107272351	6.2114016374184695	5.649615459063409	5.70597790168252	4.98641093525204	4.666756591884799	5.85549144310187	5.300123724569009	6.80992886572143	5.96578428466209	5.5576551547254205	5.4093909361377	6.0	6.20554891117303	5.8150630171928706	6.30560578958543	6.51884982870769	6.323730337521349
RHBDL2	8.697315121716251	8.030115330908071	6.37155886261196	7.669593751188331	8.12876767668555	8.50342824659197	8.59170933316174	8.01903466936434	8.67666233485797	8.75187875229113	8.2667865406949	7.49904859773388	8.78496195020486	8.99859042974533	8.54303182025524	7.3948913664425895	8.75288236627309	6.97269265400426	7.61544572530479	8.70147974825286	8.0389189892923	8.65570959551851	8.69801006153743	8.78953364497036
CPA6	1.0	0.6780719051126379	0.0	-1.0	3.33628338786443	2.63226821549951	1.6322682154995098	1.0703893278914	1.5849625007211599	4.81762325751143	3.6322682154995096	4.96347412397489	4.08746284125034	4.06177619758669	5.161887682376889	2.16992500144231	4.05311133645956	3.2630344058337903	2.56071495447448	4.35755200461808	1.0	4.33628338786443	4.70043971814109	2.0
ACVR1C	6.0746766862945	5.14159627838382	6.28909670241999	5.799605422452671	8.41193462479118	7.25077213159993	6.004501392234941	5.93073733756289	6.053111336459559	6.60436789989375	5.97498811199193	5.85299758761332	7.4594316186373	7.463524373271179	6.26115467261557	6.325530331567559	6.56529252058102	7.52042224852645	5.909293085823821	6.27239650903749	6.65391987311942	7.66888498426625	7.9518675043269	6.378511623253731
ABCC13	5.25927248703759	5.605849867194981	4.32192809488736	3.8972404255748	5.42961596420174	5.116863757690901	6.04220656012069	5.67807190511264	3.2172307162206697	4.887525270741589	3.1043366598147406	4.49185309632967	4.63807383718072	4.452858964713809	6.23840473932508	4.24792751344359	4.97269265400426	5.41278152533848	6.427941332509481	4.98641093525204	5.21723071622067	5.8404632338695395	5.57893871309339	6.55305325276641
ABCC13	9.0703893278914	7.50937914891469	6.97269265400426	7.31197531446116	7.518062975652519	6.72655877910497	7.3619437737352404	7.19278595925112	7.755555261972151	7.1639012138145395	7.3327079336406	6.65391987311942	7.673839055990441	7.45038647903429	7.889351852594651	6.4396231375571205	7.64313466185727	6.17990909001493	8.46474993900329	8.12567176339259	7.911691581872339	6.52199295640167	7.36369674483899	7.80154670335678
IGSF3	1.67807190511264	3.36457243229586	2.63226821549951	3.72246602447109	2.23266075679027	1.48542682717024	1.26303440583379	3.9541963103868802	2.51096191927738	2.4594316186373	0.765534746362977	1.8073549220576	4.5298209465287	3.1043366598147406	2.16992500144231	2.78659636189081	2.8479969065549504	3.1538053360790403	1.43295940727611	3.30742852519225	4.30742852519225	2.8073549220576	3.49825086752783	4.54843662469604
PROM2	7.79506558265962	8.01234519041983	7.10118781525974	8.1853710292354	8.93044167303866	7.87897051015108	7.7859428193922495	7.142617655446581	7.64601861092535	8.73538678289534	7.78985964091365	6.53138146051631	8.43337679337504	8.67313237214536	8.01513624379738	7.22400167419811	8.22351908679073	8.15734693536284	8.12412131182919	8.277519886641361	8.24840200614344	8.043300754364179	8.51806297565252	8.83478704933734
ABHD11	3.1538053360790403	4.20945336562895	4.19377174339668	2.72246602447109	1.76553474636298	6.209453365628951	3.2479275134435897	2.60880924267552	3.57288966842058	3.4594316186372995	3.37851162325373	2.16992500144231	2.6553518286125497	2.90689059560852	3.1538053360790403	6.29094040240368	4.84297883178833	5.442943495848731	3.73335434061383	5.70321146739115	4.01792190799726	4.01792190799726	2.4059923596758397	3.2479275134435897
