Name	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
UQCRH	6.683048358	6.735081739	7.229374945	7.530085516000001	7.4464201370000005	7.379938452999999	7.071388381	6.82449645	6.9084868120000005	7.3552720460000005	7.095628812999999	6.808075595	6.406072883999999	7.208327695	7.615785086	7.53157041	7.659753476000001	7.15891365	7.3411045139999995	7.230118385	7.482553307000001	7.184281075	7.1828418339999995
FAAH	6.543010101	7.180411979	7.498945352000001	7.576038409	7.7361523000000005	7.273210248	7.373674993	7.043857517	7.255858152999999	7.202587795	7.659227791	6.740558684	6.645054342000001	6.96240915	7.637366261	7.3163999010000005	7.121280712000001	7.036972596	7.207003295	7.387051379	8.062125377000001	7.477037096	7.483578525
FOXD2	6.837276151	7.166743716	7.348353331	7.137336097	7.27511639	6.981507357999999	7.063832657000001	6.87808488	7.526301623999999	7.271542247	7.134342022999999	6.57312639	7.056435464	7.067749126	6.669118301	6.829478095	6.562272009	6.886000346	7.001286029	7.64282811	7.272609141	7.111691917999999	7.159341215
STRADB	9.21819057	9.21709626	9.476359698	9.569677981	9.351708817999999	10.01611456	9.312643691	9.338363987000001	9.310333474	9.020018385	8.823522737000001	9.108097996	8.496686432	9.527986514	9.687931888	9.803843385	10.19825993	8.952384807	9.177564312000001	9.377193317	9.928961881000001	9.758288797	9.430440811
CPT2	7.305581827	7.671111903	8.054655817	7.832211482999999	8.077003599	7.8372458289999996	7.911195656	7.69339773	7.713215324	7.811246402999999	7.602056231000001	7.545788756	7.287371954	7.828566621	7.814515677	8.007089563	8.029418335	7.500474177	7.702852864	7.8683404779999995	8.227898807999999	7.917146597	7.853905732
MRPL37	9.468854074	9.640882478	9.795271572	9.590485629	9.931405806	9.840151992000001	9.686459277	9.540718461	9.266940199999999	9.582392742	9.752762832	9.575842388	9.353168906	9.663288702000001	9.833886373	9.469410173	9.693010552	9.588460397	9.72609392	9.602066995	9.945561179	9.691282088	9.799715013
ACOT11	7.407908129	8.363144731	8.61168641	8.321032406	8.06472665	8.591171225	8.389244147000001	8.238800204	8.336338067	8.07221669	8.262980144	7.761918217000001	7.641682342999999	8.247926355	8.576037717	8.668832194	8.831040831000001	8.06484208	8.310552182	8.19337887	8.789839865	8.292431311	8.163038919
INADL	7.899574785	8.458140984	8.969642803	8.611212831	9.024461835	8.901383349	8.861049695	8.304890763	8.551443192	8.712232159	8.519848457	8.113175736	7.336665227	8.581533452	8.963331627	8.772109148	8.950462722000001	8.368368711	8.489530486	8.672497856	8.933093503	8.986014563	8.89022976
PGM1	8.258592055	8.520318818	9.198025462999999	8.61801262	9.080448673	8.623368468999999	8.967068788999999	8.471944439	8.638121334	8.773065339	8.525328676	8.467687509	8.024744359	8.669917477	8.705124004	8.867681437	8.560817464	8.631435978999999	8.672032925	8.880797563	9.485072229	8.684805967	9.033725449
RAVER2	7.939356459	8.926259433	9.160522674	9.265236023	9.323283644	8.710030647	9.265596162000001	8.975232763	8.909004387000001	8.613269694	8.782464782	8.47133486	8.095838358	8.963621175	9.153791516	9.17030958	9.441096319	8.576288386	8.656488257000001	9.271613911000001	9.542174976	9.631144965	9.159949076
